Dpt,Arthaud,Asselineau,Cheminade,DupontAignan,Fillon,Hamon,Lasalle,LePen,Macron,Melenchon,Poutou,Groupe,Nom_Departement,Localisation_PowerBI
Ain,0.5653792675852289,1.108659019825107,0.18262793931227536,6.073683467413957,21.425787065030892,5.1292361241133335,1.0635391759950155,25.001611422993932,22.618853955966717,15.879729526487191,0.9508930352763514,0,Ain,"Ain, France"
Aisne,0.9589088637467897,0.7534531824807386,0.18602068438953287,5.0846810578191155,16.30075657666412,4.244464496425349,0.785729159436385,35.66668980356771,17.93572568890123,16.98826959117096,1.0953008953980703,2,Aisne,"Aisne, France"
Allier,0.8001662683154942,0.7388548269770342,0.18341473552946067,5.089369219578095,18.942637431154523,5.517510131975476,1.551491218954588,22.344383248467214,23.71973397069521,19.90595448404863,1.2064844643042711,1,Allier,"Allier, France"
Alpes-de-Haute-Provence,0.5224943337946527,0.9346731652526225,0.20558798162745454,4.874942335078324,18.49489540084642,4.997292255851736,1.725936177467557,24.53316485147522,20.017249333092646,22.5123854223078,1.1813787432055678,2,Alpes-de-Haute-Provence,"Alpes-de-Haute-Provence, France"
Hautes-Alpes,0.47281051917125866,0.9007558065963395,0.18981444200306005,5.68062857340067,19.148250831157178,5.877345358749295,1.8509784071692341,21.25231516099716,21.79760028529686,21.622740920542523,1.206759694916424,1,Hautes-Alpes,"Hautes-Alpes, France"
Alpes-Maritimes,0.29408162848764824,1.0319220590136273,0.15971234768646714,4.281957777430042,27.390242408986072,3.5832375172639015,0.895001462754196,27.74827701162719,19.04182796649953,14.957682180932489,0.6160576393188328,0,Alpes-Maritimes,"Alpes-Maritimes, France"
Ardèche,0.6663053038515822,1.0068727116529281,0.18971547791936835,5.075783918672912,17.30194931375156,6.012088608889525,1.8132913334287877,23.167276892552515,21.640859907136576,21.795291374337786,1.3305651578064597,2,Ardèche,"Ardèche, France"
Ardennes,0.9386729154036362,0.7356797885601793,0.1818763921718221,5.320054767273148,17.215588237297602,4.927692213374386,0.9577460951070482,32.40941942603352,18.332050434936615,17.827973542775013,1.1532461870670216,2,Ardennes,"Ardennes, France"
Ariège,0.5958887960045443,0.8563222086468181,0.15004394143999314,3.6107002765095495,12.74516108288856,7.85158510706707,3.541037017983838,21.699569159539582,20.923627633807044,26.761408698261636,1.2646560778513707,1,Ariège,"Ariège, France"
Aube,0.6872873568927409,0.817667072292448,0.17942732262150146,6.35445898626667,23.04740854794248,4.063501129957533,0.7195718578488589,30.32632180197184,18.976457148533537,13.966771798246702,0.8611269774256836,0,Aube,"Aube Department, France"
Aude,0.5574708085892489,0.831774436581281,0.1623429635054884,3.8556453832553497,15.059175876208824,6.350968692999192,2.1655058522772332,28.26307024132188,20.066616595369492,21.517906708776316,1.169522441115688,2,Aude,"Aude, France"
Aveyron,0.6267602840255464,0.7389651088330131,0.1773742937612984,4.847475108096315,20.777160084550303,6.164465071998096,3.6613907731365782,16.200563290888176,25.83204411123012,19.65794529164754,1.3158565818330188,1,Aveyron,"Aveyron, France"
Bouches-du-Rhône,0.3919222481132668,0.8972104357634292,0.16576196201193105,3.853203492814124,19.764351270555913,4.531208023641085,0.9564655739079241,27.28375208869599,19.36861840262628,22.02481094562436,0.7626955562457011,2,Bouches-du-Rhône,"Bouches-du-Rhône, France"
Calvados,0.771621076534652,0.704642673957104,0.1720523278107275,4.999477120277276,20.501864937677716,6.795693463007504,0.7248108918336147,20.35994044150968,24.829317119082123,18.828649824959786,1.3119301233498164,1,Calvados,"Calvados, France"
Cantal,0.7557390297708757,0.5755411397243518,0.21623746805582858,4.419762794050194,23.577528777056987,5.253041521962301,3.1015879256492584,18.173776292510322,26.731537907083414,15.907651311622217,1.287595832514252,1,Cantal,"Cantal, France"
Charente,0.8295940466200701,0.7738187957570611,0.2261158818770633,5.028817212945888,16.95567626235472,6.315667820695131,1.5501499902016451,21.404631858220316,25.06821162436625,20.478561701999368,1.3687548049624898,1,Charente,"Charente, France"
Charente-Maritime,0.6742308245979087,0.7904414170363682,0.18112101344012144,5.321869315430621,20.58785808697473,5.764202426288721,1.3809168596966486,21.13881145878319,23.910852865350137,18.97347310012694,1.276222632274613,1,Charente-Maritime,"Charente-Maritime, France"
Cher,0.9439097552783665,0.8564678086237448,0.19978458010493036,5.532585154557984,19.09071957193982,5.3026881160024555,1.1147400484115677,24.17856687861205,22.049268614711092,19.51171490450876,1.219554567249227,2,Cher,"Cher Department, France"
Corrèze,0.7217762150357455,0.75130654543207,0.22594136512536656,4.840913929388173,17.46203979040333,6.361382568864044,2.9207557017573977,17.34254496507867,26.933034825187313,20.84772650793542,1.5925775857924773,1,Corrèze,"Corrèze, France"
Corse-du-Sud,0.29917110391392654,0.6655870889828183,0.16056430806389635,3.0438601306471975,25.68205522314322,3.4939891310314537,5.418016138771478,28.624361859801283,17.87067025306033,13.84009441730252,0.9016303452818796,0,Corse-du-Sud,"Corse-du-Sud, France"
Haute-Corse,0.3398439416989743,0.5888992491534574,0.16685478726014624,2.753103989792413,25.444128183736563,3.967708691171419,5.843598174412327,27.21573342493988,19.023899494528145,13.776561809883692,0.8796682534229768,0,Haute-Corse,"Haute-Corse, France"
Côte-d'Or,0.6295506516463012,0.8617303348718454,0.17851881988187596,5.253854463321222,21.26267869418218,5.895680475863133,0.9241593131409492,22.516519128519523,23.65146392446795,17.83750227970988,0.9883419143951404,2,Côte-d'Or,"Côte-d'Or, France"
Côtes-d'Armor,0.8075334227629485,0.6611213193624006,0.16561369073176715,4.255818480994429,18.379119340532153,8.603377879238018,0.9478116857660233,16.455493654142074,27.994047507927323,20.271809136221925,1.4582538823209386,1,Côtes-d'Armor,"Côtes-d'Armor, France"
Creuse,0.9736516206175001,0.8256110233306289,0.24768330699918864,5.012028298529558,17.988356037636475,7.820529245135301,1.9245277647293275,19.8801440548889,22.50074732032284,21.1057493843504,1.7209719434598796,1,Creuse,"Creuse, France"
Dordogne,0.6537734711109324,0.8556149732620321,0.19701660568533633,4.5933014354066986,17.092195729966626,6.345945076595232,2.4325519681556833,20.9255759720156,22.494069398094165,22.971332073499255,1.4386232962084355,1,Dordogne,"Dordogne, France"
Doubs,0.7217282065177231,1.1010665812744784,0.18650216940731018,5.184408418637549,21.088468887567345,5.742155472431108,0.8909877225269989,23.44824916689833,22.50482970240588,17.877112664904864,1.2544910074284166,2,Doubs,"Doubs, France"
Drôme,0.760543185761634,1.0348374494789447,0.18459449818349316,5.1939281224349845,18.49512192587821,6.020966887279604,1.33960885360929,23.895463408383293,21.87566019373764,20.10002043353732,1.099255041715586,2,Drôme,"Drôme, France"
Eure,0.7818229867241528,0.8691211098145064,0.17875329966120013,5.6702209473924885,18.83620318489683,5.047553722492926,0.7726180825887754,29.31286875291365,19.890313174593278,17.472689643295116,1.1678350956270767,2,Eure,"Eure, France"
Eure-et-Loir,0.7739193028337288,0.9596258609160104,0.19337334259026573,6.006925662005546,21.83968753593805,5.246210265824456,0.8271608619169517,25.08145958539733,21.738741539916262,16.200341597843078,1.1325544448183185,0,Eure-et-Loir,"Eure-et-Loir, France"
Finistère,0.6529249710598813,0.6635139136911439,0.1538088785591859,4.080691332322299,17.941078815833162,10.908585119843499,1.1113005554708042,13.885154840851783,29.45072103520375,19.671563304826943,1.480657232337554,1,Finistère,"Finistère, France"
Gard,0.4972877375309616,0.9736570616284985,0.1599783209169872,4.233126209345777,17.20206711958201,4.866621343437561,1.413419162217542,29.303131581574682,18.780456496831334,21.608958785971353,0.961296180963293,2,Gard,"Gard, France"
Haute-Garonne,0.440093245277616,0.8277811988718267,0.17945684764794764,3.8689561894541646,16.48723298669851,8.365385818321835,2.007942807338965,16.712005816014333,26.428947737884577,23.69303009620611,0.9891672562841174,1,Haute-Garonne,"Haute-Garonne, France"
Gers,0.5704271041345432,0.8737561403065308,0.15840516333426016,4.531398768147081,17.957078941381663,8.027265910029238,4.262615538872459,19.70543380265076,23.402677721324874,19.454344767152836,1.0565961426657566,1,Gers,"Gers, France"
Gironde,0.4677840201217649,0.824263651536165,0.17947391927787312,4.175971415810629,17.075644672198585,7.557415199454644,1.934604264121671,18.255212618415175,26.12620765849416,21.848099480501162,1.5553231000681695,1,Gironde,"Gironde, France"
Hérault,0.39818519440243505,0.944254072783659,0.14261921626433371,3.6945396302748374,17.60230615591758,5.771770966939143,1.3497776161213955,25.70320526319148,20.5188212697258,22.97158463668792,0.9029359776914192,2,Hérault,"Hérault, France"
Ille-et-Vilaine,0.7239618180635063,0.6663985944562445,0.17035377189279557,4.4752486480984945,19.026564176320328,8.912789213486146,0.7559970033753739,14.1235123243696,30.262071174840365,19.70430856557452,1.1787947095226257,1,Ille-et-Vilaine,"Ille-et-Vilaine, France"
Indre,1.0616035559900407,0.8385904348755863,0.2275955825072174,5.481387569309729,19.457131073670705,5.9465074006751495,1.3197488811156766,24.428337941252845,20.850963080636046,19.046237035452975,1.34189744451403,2,Indre,"Indre, France"
Indre-et-Loire,0.7666848089907474,0.7708036068901605,0.19976169812153396,5.428575631426428,21.24005236757329,6.736588164340036,0.8617113605272061,18.982362718995013,24.467130521763433,19.39689030758594,1.149438813786205,1,Indre-et-Loire,"Indre-et-Loire, France"
Isère,0.5426300425349503,0.9898658745324628,0.17207183546309965,5.097703595697601,17.045224704685484,6.5888418961712505,0.9866961301949846,22.325565950304448,24.767929432434634,20.52017013980082,0.9633003981802649,1,Isère,"Isère, France"
Jura,0.7675387279449618,0.8892216970094071,0.1905475065020158,5.705059203444564,18.969840006953312,5.073912374890519,1.3331639577719983,24.142703367676457,21.325274622415073,20.278934806009268,1.3238037293824254,2,Jura,"Jura, France"
Landes,0.4982530883622603,0.7729983136049317,0.1500810922030452,4.446354078413337,17.131837363736857,8.694213809074258,4.230108203626153,18.137219303978764,24.62741965416798,20.151614178628773,1.1599009142036423,1,Landes,"Landes, France"
Loir-et-Cher,0.7959202634485749,0.7825000774241501,0.20852904437952285,6.011211016940404,22.068979756165543,5.65505992629221,0.9512847247313381,25.11742662771372,20.976266917176805,16.298299765662904,1.1345218800648298,0,Loir-et-Cher,"Loir-et-Cher, France"
Loire,0.6507958003612977,0.8899575079145662,0.17042826809618591,5.797371776363362,18.35821620116157,5.799671408166759,1.2880493245470364,24.075100864406043,23.16930144851252,18.751708754187245,1.0493986462834117,2,Loire,"Loire Department, France"
Haute-Loire,0.7472577860249181,0.7522729389512599,0.20203901788976691,5.979495189035442,18.596187050875145,5.326808858192969,2.2295937009679245,23.058956704901238,23.514619170780286,18.21145317638293,1.3813164059981229,2,Haute-Loire,"Haute-Loire, France"
Loire-Atlantique,0.5896800446604071,0.7553080446653365,0.16686035119544226,4.503750660848326,19.681018217847647,8.02753565500082,0.7429845327602078,13.70300582778878,28.6647351615674,21.979846128630353,1.185275375035276,1,Loire-Atlantique,"Loire-Atlantique, France"
Loiret,0.6693440428380187,0.8743658105812606,0.19742836893793664,5.941975183647756,21.27698468945811,5.747921658623289,0.9008020879034344,23.528849290720306,23.48497631984521,16.349431338800578,1.0279212086441,0,Loiret,"Loiret, France"
Lot,0.6526036448319749,0.7861933259317428,0.20399505357126738,4.106980060837463,16.661702185274446,7.176834827190916,2.7737911487809943,16.125538194914565,26.652044012384124,23.481094352225444,1.3792231940570645,1,Lot,"Lot Department, France"
Lot-et-Garonne,0.5529016745930029,0.8791348465750812,0.1731789727891877,4.981940663693849,18.444884600311404,5.634407007658006,3.2215525733230237,25.034688754488354,20.78836152566968,19.0751077734586,1.213841607439811,2,Lot-et-Garonne,"Lot-et-Garonne, France"
Lozère,0.6106299457910149,0.7352483020748957,0.19315845224001496,4.563108812594762,22.817621035578544,5.676366128730762,3.66377967474609,18.89421978524103,21.73136436330405,19.695931210667332,1.4185722890315076,1,Lozère,"Lozère, France"
Maine-et-Loire,0.841035563167,0.7493060367179567,0.17539731304389508,5.517062563458966,23.72504673630267,6.439151294889728,0.7588929705986168,16.98085663611921,26.51331930154829,17.058859416330037,1.2410721678236352,1,Maine-et-Loire,"Maine-et-Loire, France"
Manche,0.8630502652722952,0.6816532754638105,0.20735839385446966,5.675562330668407,21.604215066933826,6.403147320982805,0.8387530537933605,20.50950919632813,24.85737869700379,16.983417985261912,1.3759544144372033,1,Manche,"Manche, France"
Marne,0.740718047173119,0.8309249784694778,0.178711845021088,5.751457778050101,22.153801115842718,4.657741286521042,0.7999482586658224,28.074099036998458,20.75031742627711,15.122085720412977,0.9401945065680859,0,Marne,"Marne, France"
Haute-Marne,0.9039437719640765,0.7936352987114408,0.19328387348691917,6.264154627098789,19.123389301054274,4.189769621241703,1.0991800078094494,33.216516985552516,17.998828582584927,15.013666536509177,1.203631393986724,2,Haute-Marne,"Haute-Marne, France"
Mayenne,0.90272537618181,0.6558213857694527,0.18254250077677658,5.607772204713924,27.06067734919437,5.685449864618936,0.8461316525367305,16.903213635758355,26.043100004438724,14.868613786674953,1.243952239335967,0,Mayenne,"Mayenne, France"
Meurthe-et-Moselle,0.7746875707672619,0.9105607137026486,0.19301359258069442,5.0902397792324745,16.498054064871525,6.222779290405144,0.8521036638350984,25.856448444568496,22.04067768046639,20.38097144030798,1.1804637592622826,2,Meurthe-et-Moselle,"Meurthe-et-Moselle, France"
Meuse,0.8276892895511234,0.79966369283946,0.22140221402214022,6.354336961091129,18.017656125928347,4.5943294875986735,1.2088374048297446,32.32472324723247,19.34980615628941,14.965668644028213,1.335886776589285,2,Meuse,"Meuse, France"
Morbihan,0.7019527125747864,0.6929943370268858,0.19217848496805912,4.7801465334286055,20.881546812844604,7.330510734053558,1.0280802414495505,17.687885930018023,27.86460055243316,17.494427677114547,1.3456759840882186,1,Morbihan,"Morbihan, France"
Moselle,0.8814109728423849,1.0688158621787247,0.20868464299189762,5.816167963420282,17.167396556256335,5.271656619881012,1.0305480698905791,28.350711798818708,21.054080973933196,17.903246861236337,1.247279678550545,2,Moselle,"Moselle, France"
Nièvre,0.8336516266170683,0.7962867628742715,0.1942972914625438,5.352309148579304,17.24845143398044,6.521414218576149,1.1334008668648388,24.757958715977217,22.714515834398924,19.16319311822243,1.2845209824468173,2,Nièvre,"Nièvre, France"
Nord,0.8106792494919867,0.8457655951419816,0.17269868658881685,4.819386572492452,16.746158783811236,5.653038145136331,0.6304462318372761,28.21902448140535,19.849490657060148,21.28189995147004,0.9714116455643842,2,Nord,"Nord Department, France"
Oise,0.8398946534092596,1.0658005038911085,0.18890206101970566,5.467424102258374,17.538654112788464,4.688288757472138,0.7798206001466446,30.87943388770492,19.799311546781244,17.683014575381517,1.0694551991466286,2,Oise,"Oise, France"
Orne,0.9111329242368584,0.7774438897487007,0.21077100031916754,5.807644363080147,24.740902220321935,5.214474547896204,0.8912602299210513,23.806283384620944,21.567895361231386,14.779262542380026,1.292929536243579,0,Orne,"Orne, France"
Pas-de-Calais,1.0402663619603627,0.6582232293747119,0.16899677369795668,4.9723219772622524,14.292350015363342,5.171205254263328,0.6999923183284682,34.34511349669688,18.44585381779075,19.125201643877705,1.0804751113842372,2,Pas-de-Calais,"Pas-de-Calais, France"
Puy-de-Dôme,0.7569404908474424,0.8161159052856826,0.21174141185247095,4.384870164653487,16.387383016375605,7.239593119946602,2.0607627738966308,17.67690223716721,27.146931712693544,21.99222025594068,1.3265389113406456,1,Puy-de-Dôme,"Puy-de-Dôme, France"
Pyrénées-Atlantiques,0.4546913583367244,0.7031413890454514,0.12839533631742966,3.7222010195802886,18.161874167515474,7.73126957207452,7.552577637475262,13.74335592046566,26.275044041116836,19.91720017287876,1.6102493851935913,1,Pyrénées-Atlantiques,"Pyrénées-Atlantiques, France"
Hautes-Pyrénées,0.5490768779216688,0.7323411292227734,0.14317519632898798,4.206487268145667,14.475012348860684,7.112227877642477,4.959588800836143,18.574834095741256,25.105770676288042,23.013981057921526,1.1275046710907801,1,Hautes-Pyrénées,"Hautes-Pyrénées, France"
Pyrénées-Orientales,0.5536251766390416,0.8632354649964205,0.16979837848171012,3.651227383643131,17.19161728270118,5.043349188678609,1.7369661940049554,30.04981502097179,18.458545581306435,21.13746172039867,1.1443586081780597,2,Pyrénées-Orientales,"Pyrénées-Orientales, France"
Bas-Rhin,0.8063801506424457,1.1437791023315305,0.2001320838314343,6.570585432323756,21.996806580784313,5.338694710794927,1.0733901238076926,24.697001362636996,22.29491477248978,14.78335743723928,1.0949582431178473,0,Bas-Rhin,"Bas-Rhin, France"
Haut-Rhin,0.7677452897922804,1.2916243717659874,0.25005570547894335,7.071377287019385,22.34086801515189,4.628258770518185,1.238889851699636,27.160506053328714,19.75638137208784,14.323983065534401,1.1703102176227378,0,Haut-Rhin,"Haut-Rhin, France"
Rhône,0.4570562918677519,1.0340884535042858,0.16274400345746598,4.32509634084852,23.160182417344956,6.763442699704675,0.7544073687243391,16.260444428437655,26.576681012749404,19.701590974573218,0.8042660087877259,1,Rhône,"Rhone Department, France"
Haute-Saône,0.9496710196241452,0.864379811069222,0.19136766961482776,5.860007740714726,18.050199968463755,4.727569845615745,1.0837000616390247,31.35921216725678,19.58974211952237,15.875632516735713,1.4485170797436964,2,Haute-Saône,"Haute-Saône, France"
Saône-et-Loire,0.7101122435481737,0.817871211901236,0.1645421373055741,6.117418559707825,19.390161670715695,6.189365415823792,1.0172575665185788,24.280612096750776,22.329981190575285,17.825075576462083,1.1576023306909802,2,Saône-et-Loire,"Saône-et-Loire, France"
Sarthe,0.7604421232834229,0.6432124648000893,0.1696418602920197,4.23546414261081,28.613030479711206,5.33270893550508,0.6639912667005744,20.804542804331916,20.040068973217053,17.631278609619034,1.1056183399287938,0,Sarthe,"Sarthe, France"
Savoie,0.5046386183085705,1.079653418005539,0.17801034115888872,5.660314871315082,21.03626857206728,5.693019096783809,1.304857198448412,21.71229389093348,23.12933900206575,18.63437089903502,1.0672340918781749,1,Savoie,"Savoie, France"
Haute-Savoie,0.4640893063569836,1.214274313297767,0.20000096735655312,5.993983042239623,25.40689435015405,5.273302410168852,1.1243101538580598,18.843863815544452,24.225993837938756,16.22232755660245,1.0309602464824497,0,Haute-Savoie,"Haute-Savoie, France"
Paris,0.2690981172420647,0.7744118065057279,0.13673193944781475,1.6717151591320125,26.44945609111995,10.17594019463866,0.5099581165546896,4.989879792932854,34.8337620139723,19.557497545420176,0.6315492230337585,3,Paris,"Paris Department, France"
Seine-Maritime,0.7801598191474176,0.758165022155024,0.18615463944555632,4.81205373139546,17.23692911848932,6.047258224743127,0.6384317564083517,24.90000378718359,21.230951194856424,22.197848297078334,1.2120444090973976,2,Seine-Maritime,"Seine-Maritime, France"
Seine-et-Marne,0.5445267421990594,1.2041005537834029,0.18322311050248977,6.0983762641586505,17.773964098849383,5.696813504733386,0.7613970798908596,22.850875195234728,23.114322698948413,20.838800395538584,0.9336003561610424,2,Seine-et-Marne,"Seine-et-Marne, France"
Yvelines,0.378425528438573,1.073611144052052,0.178935190675342,4.335818397910754,27.253357999509838,6.926030458511543,0.7077031731349498,12.916011141943832,28.86456529816822,16.647692684739386,0.7178489829155105,3,Yvelines,"Yvelines, France"
